Var1,Relation,Var2,Cor,Topic,Stage,Type,Confirmed,Notes,bibref,
number of phonological contrasts,~,word length,neg,morphology,language change,review,yes,,nettle2012social,
paradigmatic phonological complexity,~,population size,pos,phonology,cultural evolution,review,yes,,nettle2012social,
paradigmatic phonological complexity,~,word length,neg,phonology,language change,review,yes,,nettle2012social,
population size,~,syntagmatic phonological complexity,neg,phonology,language change,review,,,nettle2012social,
word length,~=,syntagmatic phonological complexity,pos,phonology,,review,yes,,nettle2012social,
number of phonological contrasts,~=,paradigmatic phonological complexity,pos,phonology,none,review,yes,,nettle2012social,
population size,~,syntagmatic morphological complexity,pos,morphology,cultural evolution,hypothesis,,,nettle2012social,
population size,~,paradigmatic morphological complexity,neg,morphology,cultural evolution,review,yes,,nettle2012social,
phrase length,~=,syntagmatic morphological complexity,pos,morphology,language change,review,yes,,nettle2012social,
syntagmatic morphological complexity,~,paradigmatic morphological complexity,neg,morphology,language change,review,yes,,nettle2012social,
syntagmatic phonological complexity,~,paradigmatic phonological complexity,neg,phonology,language change,review,yes,,nettle2012social,
population size,~,distance from equator,neg,demography,none,review,yes,,nettle2012social,
population size,~,economic development,neg,,,review,,,nettle2012social,
population size,~,number of speaker models,pos,,cultural evolution,hypothesis,none,"in small communities, each learner acquires language from a smaller set of individuals than they would in a larger community [32]. There is no direct evidence for this proposition, but it may be plausible, given that small languages are generally spoken in isolated subsistence communities with low levels of political organization and economic development.",nettle2012social,
population size,~,social network clusteredness,neg,,cultural evolution,hypothesis,,"individuals in small communities acquire language from the same number of models as in large communities, but their social networks are more clus- tered. That is, if individual A is exposed to the speech of individuals B and C, then there is a high degree of expected overlap in the speech sample to which B and C were exposed as they learned.",nettle2012social,
number of speaker models,>,variation in learning sets,pos,,,hypothesis,,,nettle2012social,
social network clusteredness,>,variation in learning sets,neg,,,hypothesis,,,nettle2012social,
variation in learning sets,>,failure to learn morphology,pos,,,hypothesis,,,nettle2012social,
failure to learn morphology,>,paradigmatic morphological complexity,neg,,,hypothesis,,"It could be that when the input to language learning is very heterogeneous, these fine distinctions are more likely to fail to be acquired, with the learner not able to discriminate the pattern among the noise. The learner would then develop a grammar lacking the morphological means to make a semantically important distinction, and would spontaneously innovate with a lexical strategy such as adding a word for ""two"" or 'yesterday' to fulfil the appropriate communicative function.",nettle2012social,
variation in learning sets,>,improved learning of phonology,pos,,,hypothesis,,,nettle2012social,
improved learning of phonology,>,paradigmatic phonological complexity,pos,,,hypothesis,,,nettle2012social,
population size,>,likelihood of chance events,pos,,,hypothesis,,,nettle2012social,
likelihood of chance events,>,fixation of non-optimal solutions,pos,,,hypothesis,,,nettle2012social,
likelihood of chance events,>,faster rates of change,pos,,,review,no,The empirical evidence thus far has not supported the proposal of a faster rate of change in smaller communities,nettle2012social,
fixation of non-optimal solutions,>,paradigmatic morphological complexity,n-m,,,review,no,"[The empirical evidence thus far has not supported] small languages having more extreme levels of complexity than large languages, because the relation- ships between linguistic parameters and population size are linear, rather than inflected",nettle2012social,
population size,>,proportion of L2 learners,pos,,,review,yes,,nettle2012social,
proportion of L2 learners,>,difficulties in L2 language acquisition,pos,,,review,yes,,nettle2012social,
difficulties in L2 language acquisition,>,failure to learn morphology,pos,,,review,yes,,nettle2012social,
difficulties in L2 language acquisition,>,failure to use morphology,pos,,,review,yes,,nettle2012social,
failure to use morphology,>,paradigmatic morphological complexity,neg,,,hypothesis,,,nettle2012social,
proportion of L2 learners,>,L1 communicative efficiency,pos,,,hypothesis,,,nettle2012social,
proportion of L2 learners,>,L1 enhanced learnability,pos,,,hypothesis,,,nettle2012social,
L1 enhanced learnability,>,paradigmatic morphological complexity,pos,,,hypothesis,,"An alternative possibility is that much morphology is not directly communicatively advantageous, but rather enhances the learnability of language by children",nettle2012social,
L1 communicative efficiency,>,paradigmatic morphological complexity,pos,,,hypothesis,,"One possibility is that paradigmatic morphology increases the overall rate of information transmission, as suggested in ++2b. This would mean that using more morphological strategies allows speakers to communicate ef+++ciently and concisely, and will thus tend to be incrementally favoured in speech wherever the simplifying consequences of adult language acquisition are not in force.",nettle2012social,
fixation of non-optimal solutions,>,paradigmatic phonological complexity,n-m,,,hypothesis,no,"Trudgill+++s argument is slightly different but makes a similar prediction of disfavoured structures being more likely to persist in small communities. Assuming that intermediate sizes of phonological inventory, and intermediate levels of morphological complexity, represent the communicatively optimal language system, this predicts that languages spoken in small communities should be more extreme than those spoken in large ones. That is, a small language should be more likely to have a very large or very small phonological inventory, a very low or very high level of morphological complexity, with languages of large communities more likely to be in the middle",,nettle2012social
faster rates of change,>,fixation of non-optimal solutions,pos,,,hypothesis,,"Nettle argued that the turnover of linguistic change would be faster in small communities, and, relatedly, that communicatively suboptimal grammatical strategies were more likely to drift to +++xation in small communities than in larger ones. ",,nettle2012social
L1 communicative efficiency,>,syntagmatic morphological complexity,neg,,,hypothesis,,"Here, successive generations reinterpret previously separate content words as grammatical modi+++cations of other words, often contracting them in the process. Thus, paradigmatic complexity is gained and syntagmatic complexity is lost.",,nettle2012social
